source_pdf,หน่วยเลือกตั้งที่,หมู่ที่,ตำบล/แขวง/เทศบาล,อำเภอ/เขต,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,เลขพรรค,ชื่อพรรค,จำนวนคะแนนที่ได้,จำนวนคะแนนที่ได้(ตัวเลขดิบ),จำนวนที่ได้(ตัวอักษร),จำนวนคะแนนที่ได้_decision
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,37.0,ภูมิใจไทย,10.0,10,สิบ,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,38.0,พลังธรรมใหม่,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,39.0,กรีน,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,40.0,ไทยธรรม,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,41.0,แผ่นดินธรรม,1.0,1,หนึ่ง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,42.0,กล้าธรรม,228.0,228,สองร้อยยี่สิบแปด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,43.0,พลังประชารัฐ,2.0,2,สอง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,44.0,โอกาสใหม่,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,45.0,เป็นธรรม,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,46.0,ประชาชน,67.0,67,หกสิบเจ็ด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,47.0,ประชาไทย,1.0,1,หนึ่ง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,48.0,ไทยสร้างไทย,2.0,2,สอง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,49.0,ไทยก้าวใหม่,3.0,3,สาม,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,50.0,ประชาอาสาชาติ,1.0,1,หนึ่ง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,51.0,พร้อม,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,52.0,เครือข่ายชาวนาแห่งประเทศไทย,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,53.0,ไทยพิทักษ์ธรรม,1.0,1,หนึ่ง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,54.0,ความหวังใหม่,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,55.0,ไทยรวมไทย,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,56.0,เพื่อบ้านเมือง,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,57.0,พลังไทยรักชาติ,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,1.0,ไทยภักดีทวี,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,2.0,เพื่อชาติไทย,6.0,6,หกคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,3.0,ใหม่,2.0,2,สองคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,4.0,มิติใหม่,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,5.0,รวมใจไทย,18.0,18,สิบแปดคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,6.0,รวมไทยสร้างชาติ,6.0,6,หกคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,7.0,พลังวัด,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,8.0,ประชาธิปไตยใหม่,2.0,2,สองคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,9.0,เพื่อไทย,101.0,101,หนึ่งร้อยเอ็ดคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,10.0,ทางเลือกใหม่,2.0,2,สองคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,11.0,เศรษฐกิจ,10.0,10,สิบคนแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,12.0,เสรีรวมไทย,2.0,2,สองคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,13.0,รวมพลังประชาชน,2.0,2,สองคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,14.0,ท้องที่ไทย,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,15.0,อนาคตไทย,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,16.0,พลังเพื่อไทย,2.0,2,สองคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,17.0,ไทยชนะ,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,18.0,พลังสังคมใหม่,1.0,1,หนึ่งคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,19.0,สังคมประชาธิปไตยไทย,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,20.0,พิวชัน,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,21.0,ไทรวมพลัง,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,22.0,ก้าวอิสระ,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,23.0,ปวงชนไทย,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,24.0,วิชชั่นใหม่,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,25.0,เพื่อชีวิตใหม่,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,26.0,คลองไทย,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,27.0,ประชาธิปัตย์,12.0,12,สิบสองคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,28.0,ไทยก้าวหน้า,1.0,1,หนึ่งคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,29.0,ไทยภักดี,2.0,2,สองคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,30.0,แรงงานสร้างชาติ,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,31.0,ประชากรไทย,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,32.0,ครูไทยเพื่อประชาชน,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,33.0,ประชาชาติ,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,34.0,สร้างอนาคตไทย,1.0,1,หนึ่งคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,34.0,รักชาติ,2.0,2,สองคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,36.0,ไทยพร้อม,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,37.0,ภูมิใจไทย,25.0,25,ยี่สิบห้าคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,38.0,พลังธรรมใหม่,1.0,1,หนึ่งคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,39.0,กรีน,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,40.0,ไทยธรรม,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,41.0,แผ่นดินธรรม,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,42.0,กล้าธรรม,23.0,23,ยี่สิบสามคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,43.0,พลังประชารัฐ,3.0,3,สามคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,44.0,โอกาสใหม่,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,45.0,เป็นธรรม,0.0,0,ศูนย์คะแนน,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,359.0,45.0,18.0,46.0,ประชาชน,120.0,120,หนึ่งร้อยยี่สิบคะแนน,numeric_text_agree
