source_pdf,ประเภทเอกสาร,is_bch,หน่วยเลือกตั้งที่,หน่วยเลือกตั้งที่(ตัวเลขดิบ),หน่วยเลือกตั้งที่(ตัวอักษร),หน่วยเลือกตั้งที่_from_path,หน่วยเลือกตั้งที่_decision,หมู่ที่,หมู่ที่(ตัวเลขดิบ),หมู่ที่(ตัวอักษร),หมู่ที่_from_path,หมู่ที่_decision,ตำบล/แขวง/เทศบาล,อำเภอ/เขต,จำนวนผู้มีสิทธิ,จำนวนผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,match_score_ตำบล,match_score_อำเภอ
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,7,7,,7,numeric_only,4.0,4,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,327.0,216.0,193.0,16.0,7.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,9,9,,9,numeric_only,6.0,6,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,655.0,487.0,437.0,31.0,19.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,แบ่งเขต,False,9,9,,9,numeric_only,6.0,6,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,655.0,487.0,443.0,22.0,22.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,แบ่งเขต,False,5,5,,5,numeric_only,6.0,6,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,688.0,456.0,456.0,11.0,12.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,5,5,,5,numeric_only,2.0,2,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,688.0,556.0,527.0,3.0,26.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 11/สส. 5ทับ18.pdf,แบ่งเขต,False,11,11,,11,numeric_only,8.0,8,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,201.0,151.0,134.0,13.0,4.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 11/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,11,11,,11,numeric_only,8.0,8,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,201.0,151.0,137.0,6.0,8.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,2,2,,2,numeric_only,1.0,1,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,498.0,346.0,319.0,18.0,9.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18.pdf,แบ่งเขต,False,2,2,,2,numeric_only,1.0,1,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,488.0,346.0,319.0,11.0,16.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,แบ่งเขต,False,3,3,,3,numeric_only,2.0,2,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,663.0,419.0,386.0,18.0,15.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,3,3,,3,numeric_only,2.0,2,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,663.0,419.0,396.0,11.0,12.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,4,4,,4,numeric_only,2.0,2,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,670.0,468.0,409.0,28.0,31.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,แบ่งเขต,False,4,4,,4,numeric_only,2.0,2,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,670.0,468.0,412.0,20.0,36.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,10,10,,10,numeric_only,4.0,4,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,621.0,379.0,341.0,23.0,15.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18.pdf,แบ่งเขต,False,10,10,,10,numeric_only,7.0,7,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,621.0,379.0,340.0,23.0,16.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18.pdf,แบ่งเขต,False,1,1,,1,numeric_only,1.0,1,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,499.0,349.0,323.0,11.0,15.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,1,1,,1,numeric_only,1.0,1,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,495.0,410.0,304.0,28.0,17.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 6/สส.5ทับ18 บช หน่วยที่ 6.pdf,บัญชีรายชื่อ,True,6,6,,6,numeric_only,6.0,6,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,493.0,312.0,283.0,16.0,13.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,แบ่งเขต,False,6,6,,6,numeric_only,6.0,6,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,493.0,312.0,295.0,17.0,,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 9/สส.5ทับ18 บช หน่วยที่ 9.pdf,บัญชีรายชื่อ,True,9,9,,9,numeric_only,8.0,8,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,435.0,393.0,298.0,18.0,17.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,แบ่งเขต,False,9,9,,9,numeric_only,8.0,8,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,425.0,333.0,310.0,11.0,12.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 8/สส.5ทับ18 บช หน่วยที่ 8.pdf,บัญชีรายชื่อ,True,8,8,,8,numeric_only,7.0,7,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,280.0,222.0,199.0,13.0,10.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18.pdf,แบ่งเขต,False,8,8,,8,numeric_only,7.0,7,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,280.0,222.0,206.0,5.0,11.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 7/สส.5ทับ18 บช หน่วยที่ 7.pdf,บัญชีรายชื่อ,True,8,8,,7,numeric_only,4.0,4,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,477.0,351.0,323.0,24.0,4.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18.pdf,แบ่งเขต,False,7,7,,7,numeric_only,8.0,8,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,477.0,351.0,322.0,26.0,3.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 18/สส.5ทับ18 บช หน่วยที่ 18.pdf,บัญชีรายชื่อ,True,14,14,,18,numeric_only,13.0,13,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,360.0,278.0,258.0,15.0,5.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 18/สส. 5ทับ18.pdf,แบ่งเขต,False,18,18,,18,numeric_only,17.0,17,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,360.0,278.0,256.0,22.0,,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส.5ทับ18 บช หน่วยที่ 5.pdf,บัญชีรายชื่อ,True,9,9,,5,numeric_only,5.0,5,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,549.0,406.0,376.0,,,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,แบ่งเขต,False,5,5,,5,numeric_only,,,,,missing,ตำบลแม่สาว,อำเภอแม่อาย,,,,,,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 4/สส.5ทับ18 บช หน่วยที่ 4.pdf,บัญชีรายชื่อ,True,4,4,,4,numeric_only,4.0,4,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,341.0,223.0,206.0,14.0,3.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,แบ่งเขต,False,1,1,,4,numeric_only,4.0,4,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,341.0,223.0,213.0,6.0,4.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 3/สส.5ทับ18 บช หน่วยที่ 3.pdf,บัญชีรายชื่อ,True,3,3,,3,numeric_only,3.0,3,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,468.0,368.0,343.0,11.0,14.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,แบ่งเขต,False,3,3,,3,numeric_only,3.0,3,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,468.0,368.0,349.0,6.0,13.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 2/สส.5ทับ18 บช หน่วยที่ 2.pdf,บัญชีรายชื่อ,True,1,1,,2,numeric_only,1.0,1,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,545.0,387.0,350.0,29.0,8.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18.pdf,แบ่งเขต,False,2,2,,2,numeric_only,2.0,2,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,545.0,387.0,346.0,22.0,19.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 16/สส.5ทับ18 บช หน่วยที่ 16.pdf,บัญชีรายชื่อ,True,16,16,,16,numeric_only,15.0,15,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,911.0,602.0,506.0,94.0,2.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 16/สส. 5ทับ18.pdf,แบ่งเขต,False,16,16,,16,numeric_only,15.0,15,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,911.0,602.0,524.0,75.0,3.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 15/สส.5ทับ18 บช หน่วยที่ 15.pdf,บัญชีรายชื่อ,True,15,15,,15,numeric_only,14.0,14,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,456.0,341.0,305.0,25.0,11.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 15/สส. 5ทับ18.pdf,แบ่งเขต,False,15,15,,15,numeric_only,14.0,14,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,456.0,311.0,322.0,14.0,5.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 17/สส.5ทับ18 บช หน่วยที่ 17.pdf,บัญชีรายชื่อ,True,19,19,,17,numeric_only,16.0,16,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,377.0,246.0,219.0,6.0,21.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 17/สส. 5ทับ18.pdf,แบ่งเขต,False,17,17,,17,numeric_only,16.0,16,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,377.0,246.0,228.0,9.0,9.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 14/สส.5ทับ18 บช หน่วยที่ 14.pdf,บัญชีรายชื่อ,True,14,14,,14,numeric_only,13.0,13,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,313.0,240.0,220.0,13.0,7.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 14/สส. 5ทับ18.pdf,แบ่งเขต,False,14,14,,14,numeric_only,13.0,13,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,313.0,240.0,228.0,9.0,3.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 13/สส.5ทับ18 บช หน่วยที่ 13.pdf,บัญชีรายชื่อ,True,13,13,,13,numeric_only,12.0,12,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,153.0,157.0,153.0,4.0,4.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 13/สส. 5ทับ18.pdf,แบ่งเขต,False,13,13,,13,numeric_only,12.0,12,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,193.0,147.0,147.0,141.0,1.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 10/สส.5ทับ18 บช หน่วยที่ 10.pdf,บัญชีรายชื่อ,True,10,10,,10,numeric_only,9.0,9,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,200.0,139.0,120.0,10.0,9.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18.pdf,แบ่งเขต,False,10,10,,10,numeric_only,9.0,9,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,200.0,139.0,126.0,6.0,7.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 12/สส.5ทับ18 บช หน่วยที่ 12.pdf,บัญชีรายชื่อ,True,12,12,,12,numeric_only,11.0,11,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,525.0,403.0,378.0,20.0,5.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 12/สส. 5ทับ18.pdf,แบ่งเขต,False,12,12,,12,numeric_only,11.0,11,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,625.0,403.0,368.0,22.0,13.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 11/สส.5ทับ18 บช หน่วยที่ 11.pdf,บัญชีรายชื่อ,True,11,11,,11,numeric_only,10.0,10,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,740.0,495.0,444.0,29.0,22.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 11/สส. 5ทับ18.pdf,แบ่งเขต,False,11,11,,11,numeric_only,10.0,10,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,770.0,495.0,457.0,25.0,13.0,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 1/สส.5ทับ18 บช หน่วยที่ 1.pdf,บัญชีรายชื่อ,True,1,1,,1,numeric_only,,,,,missing,ตำบลแม่สาว,อำเภอแม่อาย,,,211.0,,,100,100.0
อำเภอแม่อาย/ตำบลแม่สาว/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18.pdf,แบ่งเขต,False,1,1,,1,numeric_only,1.0,1,,,numeric_only,ตำบลแม่สาว,อำเภอแม่อาย,366.0,238.0,217.0,8.0,13.0,100,100.0
อำเภอแม่อาย/ตำบลแม่อาย/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,5,5,,5,numeric_only,14.0,14,,,numeric_only,ตำบลแม่อาย,อำเภอแม่อาย,178.0,143.0,123.0,18.0,,100,100.0
อำเภอแม่อาย/ตำบลแม่อาย/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,แบ่งเขต,False,5,5,,5,numeric_only,14.0,14,,,numeric_only,ตำบลแม่อาย,อำเภอแม่อาย,178.0,143.0,133.0,10.0,,100,100.0
อำเภอแม่อาย/ตำบลแม่อาย/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,4,4,,4,numeric_only,13.0,13,,,numeric_only,ตำบลแม่อาย,อำเภอแม่อาย,621.0,461.0,412.0,49.0,0.0,100,100.0
อำเภอแม่อาย/ตำบลแม่อาย/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,แบ่งเขต,False,4,4,,4,numeric_only,13.0,13,,,numeric_only,ตำบลแม่อาย,อำเภอแม่อาย,621.0,461.0,414.0,47.0,0.0,100,100.0
อำเภอแม่อาย/ตำบลแม่อาย/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,1,1,,1,numeric_only,3.0,3,,,numeric_only,ตำบลแม่อาย,อำเภอแม่อาย,275.0,212.0,184.0,28.0,,100,100.0
อำเภอแม่อาย/ตำบลแม่อาย/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18.pdf,แบ่งเขต,False,1,1,,1,numeric_only,3.0,3,,,numeric_only,ตำบลแม่อาย,อำเภอแม่อาย,275.0,212.0,174.0,28.0,8.0,100,100.0
อำเภอแม่อาย/ตำบลแม่อาย/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,6,6,,2,numeric_only,8.0,8,,,numeric_only,ตำบลแม่อาย,อำเภอแม่อาย,569.0,360.0,355.0,2.0,3.0,100,100.0
