source_pdf,หน่วยเลือกตั้งที่,หมู่ที่,ตำบล/แขวง/เทศบาล,อำเภอ/เขต,จำนวนผู้มีสิทธิ,จำนวนผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,หมายเลขผู้สมัคร,ชื่อผู้สมัคร,สังกัดพรรคการเมือง,จำนวนคะแนนที่ได้,จำนวนคะแนนที่ได้(ตัวเลขดิบ),จำนวนที่ได้(ตัวอักษร),จำนวนคะแนนที่ได้_decision
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,533.0,402.0,378.0,10.0,14.0,2.0,นายสมดุลย์ อุดเจริญ,ประชาชน,79.0,79,เจ็ดสิบเก้าคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,533.0,402.0,378.0,10.0,14.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,1.0,1,หนึ่งคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,533.0,402.0,378.0,10.0,14.0,4.0,นายสันติ ตันสุขัย,ก้าวอิสระ,3.0,3,สามคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,533.0,402.0,378.0,10.0,14.0,5.0,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,176.0,176,หนึ่งร้อยเจ็ดสิบหกคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,533.0,402.0,378.0,10.0,14.0,6.0,นายนิธิกร วุฒินันชัย,เพื่อไทย,72.0,72,เจ็ดสิบสองคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,533.0,402.0,378.0,10.0,14.0,7.0,นายไกร ดาบธรรม,พลังประชารัฐ,21.0,21,ยี่สิบเอ็ดคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,533.0,402.0,378.0,10.0,14.0,8.0,นายพิสิณห์ อุปนันท์,เศรษฐกิจ,5.0,5,ห้าคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,533.0,402.0,378.0,10.0,14.0,9.0,นายชาญวิทยายุทธ อินทร์แก้ว,ประชากรไทย,9.0,9,เก้าคะแนน,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 8/สส.5ทับ18.pdf,8,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,536.0,379.0,346.0,28.0,5.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,18.0,18,สิบแปด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 8/สส.5ทับ18.pdf,8,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,536.0,379.0,346.0,28.0,5.0,2.0,นายสมดุลย์ อุตเจริญ,ประชาชน,40.0,40,สี่สิบ,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 8/สส.5ทับ18.pdf,8,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,536.0,379.0,346.0,28.0,5.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,1.0,1,หนึ่ง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 8/สส.5ทับ18.pdf,8,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,536.0,379.0,346.0,28.0,5.0,4.0,นายสันติ ตันสุขี,ก้าวอิสระ,3.0,3,สาม,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 8/สส.5ทับ18.pdf,8,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,536.0,379.0,346.0,28.0,5.0,5.0,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,68.0,68,หกสิบแปด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 8/สส.5ทับ18.pdf,8,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,536.0,379.0,346.0,28.0,5.0,6.0,นายนิธิกร วุฒินันชัย,เพื่อไทย,67.0,67,หกสิบเจ็ด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 8/สส.5ทับ18.pdf,8,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,536.0,379.0,346.0,28.0,5.0,7.0,นายไกร ดาบธรรม,พลังประชารัฐ,138.0,138,หนึ่งร้อยสามสิบแปด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 8/สส.5ทับ18.pdf,8,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,536.0,379.0,346.0,28.0,5.0,8.0,นายพิสันท์ อุปนันท์,เศรษฐกิจ,3.0,3,สาม,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 8/สส.5ทับ18.pdf,8,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,536.0,379.0,346.0,28.0,5.0,9.0,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,8.0,8,แปด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,4.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,411.0,264.0,239.0,15.0,10.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,11.0,11,สิบเอ็ด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,4.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,411.0,264.0,239.0,15.0,10.0,2.0,นายสมดุลย์ อุดมเจริญ,ประชาชน,39.0,39,สามสิบเก้า,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,4.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,411.0,264.0,239.0,15.0,10.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,5.0,5,ห้า,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,4.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,411.0,264.0,239.0,15.0,10.0,4.0,นายสันติ ตันสุขข,ก้าวอิสระ,1.0,1,หนึ่ง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,4.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,411.0,264.0,239.0,15.0,10.0,5.0,นายการุณย์ คงเจริญชัยกุล,กล้าธรรม,89.0,89,แปดสิบเก้า,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,4.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,411.0,264.0,239.0,15.0,10.0,6.0,นายนิธิกร วุฒินันชัย,เพื่อไทย,53.0,53,ห้าสิบสาม,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,4.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,411.0,264.0,239.0,15.0,10.0,7.0,นายไกร ดาบธรรม,พลังประชารัฐ,36.0,36,สามสิบหก,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,4.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,411.0,264.0,239.0,15.0,10.0,8.0,นายพิสิณฑ์ อุปนันท์,เศรษฐกิจ,1.0,1,หนึ่ง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,5,4.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,411.0,264.0,239.0,15.0,10.0,9.0,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,4.0,4,สี่,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 7/สส.5ทับ18.pdf,7,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,452.0,355.0,304.0,29.0,19.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,8.0,8,แปด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 7/สส.5ทับ18.pdf,7,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,452.0,355.0,304.0,29.0,19.0,2.0,นายสมดุลย์ อุดเจริญ,ประชาชน,78.0,78,เจ็ดสิบแปด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 7/สส.5ทับ18.pdf,7,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,452.0,355.0,304.0,29.0,19.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,2.0,2,สอง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 7/สส.5ทับ18.pdf,7,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,452.0,355.0,304.0,29.0,19.0,4.0,นายสันติ ตันสุขชัย,ก้าวอิสระ,4.0,4,สี่,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 7/สส.5ทับ18.pdf,7,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,452.0,355.0,304.0,29.0,19.0,5.0,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,77.0,77,เจ็ดสิบเจ็ด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 7/สส.5ทับ18.pdf,7,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,452.0,355.0,304.0,29.0,19.0,6.0,นายนิกร วุฒิบัณฑัย,เพื่อไทย,98.0,98,เก้าสิบแปด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 7/สส.5ทับ18.pdf,7,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,452.0,355.0,304.0,29.0,19.0,7.0,นายไกร ดาบธรรม,พลังประชารัฐ,32.0,32,สามสิบสอง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 7/สส.5ทับ18.pdf,7,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,452.0,355.0,304.0,29.0,19.0,8.0,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,5.0,5,ห้า,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 7/สส.5ทับ18.pdf,7,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,452.0,355.0,304.0,29.0,19.0,9.0,นายชาญวิทยายุทธ์ อินทรแก้ว,ประชากรไทย,4.0,4,สี่,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,579.0,424.0,408.0,18.0,6.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,24.0,24,ยี่สิบสี่,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,579.0,424.0,408.0,18.0,6.0,2.0,นายสมดุลย์ อุดเจริญ,ประชาชน,75.0,75,เจ็ดสิบห้า,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,579.0,424.0,408.0,18.0,6.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,4.0,4,สี่,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,579.0,424.0,408.0,18.0,6.0,4.0,นายสันติ ตันสุขขี,ก้าวอิสระ,1.0,1,หนึ่ง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,579.0,424.0,408.0,18.0,6.0,5.0,นายการุณย์ ภูเจริญชัยกุล,กล้าธรรม,92.0,92,เก้าสิบสอง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,579.0,424.0,408.0,18.0,6.0,6.0,นายนิธิกร วุฒินันชัย,เพื่อไทย,165.0,165,หนึ่งร้อยหกสิบห้า,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,579.0,424.0,408.0,18.0,6.0,7.0,นายไกร ดาบธรรม,พลังประชารัฐ,24.0,24,ยี่สิบสี่,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,579.0,424.0,408.0,18.0,6.0,8.0,นายพิสิณห์ อุปนันท์,เศรษฐกิจ,6.0,6,หก,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,3,6.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,579.0,424.0,408.0,18.0,6.0,9.0,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,12.0,12,สิบสอง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18.pdf,10,3.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,372.0,292.0,271.0,20.0,1.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,8.0,8,แปด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18.pdf,10,3.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,372.0,292.0,271.0,20.0,1.0,2.0,นายสมดุลย์ อุดเจริญ,ประชาชน,15.0,15,สิบห้า,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18.pdf,10,3.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,372.0,292.0,271.0,20.0,1.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,,,,missing
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18.pdf,10,3.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,372.0,292.0,271.0,20.0,1.0,4.0,นายสันติ ตันสุขขี,ก้าวอิสระ,4.0,4,สี่,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18.pdf,10,3.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,372.0,292.0,271.0,20.0,1.0,5.0,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,222.0,222,สองร้อยยี่สิบสอง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18.pdf,10,3.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,372.0,292.0,271.0,20.0,1.0,6.0,นายนิธิกร วุฒินันชัย,เพื่อไทย,7.0,7,เจ็ด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18.pdf,10,3.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,372.0,292.0,271.0,20.0,1.0,7.0,นายไกร ดาบธรรม,พลังประชารัฐ,14.0,14,สิบสี่,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18.pdf,10,3.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,372.0,292.0,271.0,20.0,1.0,8.0,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,1.0,1,หนึ่ง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18.pdf,10,3.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,372.0,292.0,271.0,20.0,1.0,9.0,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,,,,missing
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 2/สส. 5ทับ 18.pdf,8,8.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,589.0,440.0,416.0,16.0,8.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,9.0,9,เก้า,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 2/สส. 5ทับ 18.pdf,8,8.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,589.0,440.0,416.0,16.0,8.0,2.0,นายสมดุลย์ อุดเจริญ,ประชาชน,70.0,70,เจ็ดสิบ,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 2/สส. 5ทับ 18.pdf,8,8.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,589.0,440.0,416.0,16.0,8.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,2.0,2,สอง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 2/สส. 5ทับ 18.pdf,8,8.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,589.0,440.0,416.0,16.0,8.0,4.0,นายสันติ ตันสุขขี,ก้าวอิสระ,6.0,6,หก,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 2/สส. 5ทับ 18.pdf,8,8.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,589.0,440.0,416.0,16.0,8.0,5.0,นายการุณย์ เจริญชัยกุล,กล้าธรรม,160.0,160,หนึ่งร้อยหกสิบ,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 2/สส. 5ทับ 18.pdf,8,8.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,589.0,440.0,416.0,16.0,8.0,6.0,นายนิธิกร วุฒินันท์ชัย,เพื่อไทย,124.0,124,หนึ่งร้อยยี่สิบสี่,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 2/สส. 5ทับ 18.pdf,8,8.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,589.0,440.0,416.0,16.0,8.0,7.0,นายไกร ดาบธรรม,พลังประชารัฐ,26.0,26,ยี่สิบหก,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 2/สส. 5ทับ 18.pdf,8,8.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,589.0,440.0,416.0,16.0,8.0,8.0,นายพิสัณฑ์ อุปนันท์,เศรษฐกิจ,5.0,5,ห้า,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 2/สส. 5ทับ 18.pdf,8,8.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,589.0,440.0,416.0,16.0,8.0,9.0,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,14.0,14,สิบสี่,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18.pdf,1,1.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,674.0,515.0,450.0,52.0,13.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,10.0,10,สิบ,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18.pdf,1,1.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,674.0,515.0,450.0,52.0,13.0,2.0,นายสมดุลย์ อุดเจริญ,ประชาชน,85.0,85,แปดสิบห้า,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18.pdf,1,1.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,674.0,515.0,450.0,52.0,13.0,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,1.0,1,หนึ่ง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18.pdf,1,1.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,674.0,515.0,450.0,52.0,13.0,4.0,นายสันติ ตันสุขขี,ก้าวอิสระ,11.0,11,สิบเอ็ด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18.pdf,1,1.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,674.0,515.0,450.0,52.0,13.0,5.0,นายการุณย์ เจริญชัยกุล,กล้าธรรม,178.0,178,หนึ่งร้อยเจ็ดสิบแปด,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18.pdf,1,1.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,674.0,515.0,450.0,52.0,13.0,6.0,นายนิธากร วุฒินันชัย,เพื่อไทย,109.0,109,หนึ่งร้อยเก้า,numeric_text_agree
